parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zthop1 ,1348,zLE8_TOTALSCOREinv,,0.24,0.01545931,3870,15.241656,5.50E-51,0.21,0.27,0.05,0.00003418,1,1.02E-49,1,1,50.25963731
1, zsetmar ,1222,zLE8_TOTALSCOREinv,,0.23,0.01533541,3846,15.056285,8.00E-50,0.2,0.26,0.05,0.00003418,1,1.47E-48,1,1,49.09691001
1, zlamp2 ,812,zLE8_TOTALSCOREinv,,0.24,0.01579693,3760,15.058269,8.40E-50,0.21,0.27,0.05,0.00003418,1,1.52E-48,1,1,49.07572071
1, zcdh2 ,255,zLE8_TOTALSCOREinv,,0.22,0.0147899,3879,15.008444,1.50E-49,0.19,0.25,0.05,0.00003418,1,2.77E-48,1,1,48.82390874
1, zca14 ,148,zLE8_TOTALSCOREinv,,-0.23,0.01524349,3897,-14.997109,1.80E-49,-0.26,-0.2,0.05,0.00003418,1,3.17E-48,1,1,48.74472749
1, zpla2g10 ,1056,zLE8_TOTALSCOREinv,,-0.24,0.015736,3851,-14.993994,1.90E-49,-0.27,-0.21,0.05,0.00003418,1,3.39E-48,1,1,48.7212464
1, zstc1 ,1299,zLE8_TOTALSCOREinv,,0.23,0.01547461,3915,14.981914,2.20E-49,0.2,0.26,0.05,0.00003418,1,3.78E-48,1,1,48.65757732
1, zil13ra1 ,704,zLE8_TOTALSCOREinv,,0.24,0.01626464,3789,14.935213,4.70E-49,0.21,0.27,0.05,0.00003418,1,8.02E-48,1,1,48.32790214
1, zsncg ,1268,zLE8_TOTALSCOREinv,,0.23,0.01559013,3851,14.9151,6.00E-49,0.2,0.26,0.05,0.00003418,1,1.00E-47,1,1,48.22184875
1, zcol6a3 ,333,zLE8_TOTALSCOREinv,,0.23,0.01563161,3924,14.892427,7.80E-49,0.2,0.26,0.05,0.00003418,1,1.29E-47,1,1,48.1079054
1, zvwa1 ,1442,zLE8_TOTALSCOREinv,,0.24,0.01588324,3895,14.869773,1.10E-48,0.21,0.27,0.05,0.00003418,1,1.80E-47,1,1,47.95860731
1, zcrhbp ,355,zLE8_TOTALSCOREinv,,0.23,0.01556532,3870,14.7596,5.30E-48,0.2,0.26,0.05,0.00003418,1,8.56E-47,1,1,47.27572413
1, zgfra1 ,589,zLE8_TOTALSCOREinv,,0.23,0.01548777,3895,14.665659,1.90E-47,0.2,0.26,0.05,0.00003418,1,3.10E-46,1,1,46.7212464
1, zgolm2 ,609,zLE8_TOTALSCOREinv,,0.23,0.01596272,3915,14.619658,3.60E-47,0.2,0.26,0.05,0.00003418,1,5.74E-46,1,1,46.4436975
1, zepha1 ,484,zLE8_TOTALSCOREinv,,0.21,0.01453501,3881,14.612464,4.10E-47,0.18,0.24,0.05,0.00003418,1,6.43E-46,1,1,46.38721614
1, zesm1 ,499,zLE8_TOTALSCOREinv,,-0.23,0.0159864,3870,-14.604897,4.60E-47,-0.26,-0.2,0.05,0.00003418,1,7.12E-46,1,1,46.33724217
1, zsmoc1 ,1262,zLE8_TOTALSCOREinv,,0.22,0.01500675,3897,14.594988,5.20E-47,0.19,0.25,0.05,0.00003418,1,7.93E-46,1,1,46.28399666
1, zbaiap2 ,113,zLE8_TOTALSCOREinv,,0.23,0.01612122,3784,14.455058,3.90E-46,0.2,0.26,0.05,0.00003418,1,5.89E-45,1,1,45.40893539
1, zcd4 ,228,zLE8_TOTALSCOREinv,,0.23,0.01587537,3866,14.436115,4.70E-46,0.2,0.26,0.05,0.00003418,1,7.15E-45,1,1,45.32790214
1, zsfrp1 ,1226,zLE8_TOTALSCOREinv,,0.23,0.01571861,3841,14.434095,5.00E-46,0.2,0.26,0.05,0.00003418,1,7.40E-45,1,1,45.30103
1, zcdhr5 ,261,zLE8_TOTALSCOREinv,,0.23,0.01606407,3879,14.387154,9.20E-46,0.2,0.26,0.05,0.00003418,1,1.36E-44,1,1,45.03621217
1, zfgfr2 ,540,zLE8_TOTALSCOREinv,,0.21,0.01488946,3888,14.376916,1.10E-45,0.18,0.24,0.05,0.00003418,1,1.54E-44,1,1,44.95860731
1, zhao1 ,635,zLE8_TOTALSCOREinv,,0.22,0.01531993,3897,14.357944,1.40E-45,0.19,0.25,0.05,0.00003418,1,1.97E-44,1,1,44.85387196
1, zerbb3 ,493,zLE8_TOTALSCOREinv,,0.23,0.0158151,3859,14.305996,2.80E-45,0.2,0.26,0.05,0.00003418,1,4.06E-44,1,1,44.55284197
1, zigf2r ,684,zLE8_TOTALSCOREinv,,0.23,0.0158129,3871,14.30136,3.00E-45,0.2,0.26,0.05,0.00003418,1,4.25E-44,1,1,44.52287875
1, zcreg1 ,352,zLE8_TOTALSCOREinv,,0.23,0.01603768,3837,14.203628,1.20E-44,0.2,0.26,0.05,0.00003418,1,1.63E-43,1,1,43.92081875
1, zca5a ,152,zLE8_TOTALSCOREinv,,0.22,0.01564246,3797,14.19832,1.30E-44,0.19,0.25,0.05,0.00003418,1,1.78E-43,1,1,43.88605665
1, zpcsk9 ,1029,zLE8_TOTALSCOREinv,,0.22,0.01580219,3924,14.123793,3.20E-44,0.19,0.25,0.05,0.00003418,1,4.45E-43,1,1,43.49485002
1, zc19orf12 ,138,zLE8_TOTALSCOREinv,,0.23,0.01606562,3782,14.081519,6.20E-44,0.19,0.26,0.05,0.00003418,1,8.53E-43,1,1,43.20760831
1, zaldh1a1 ,49,zLE8_TOTALSCOREinv,,0.22,0.01547351,3871,14.051589,8.80E-44,0.19,0.25,0.05,0.00003418,1,1.19E-42,1,1,43.05551733
1, zmfap5 ,902,zLE8_TOTALSCOREinv,,0.22,0.01573967,3924,13.994886,1.80E-43,0.19,0.25,0.05,0.00003418,1,2.45E-42,1,1,42.74472749
1, znpy ,983,zLE8_TOTALSCOREinv,,0.22,0.01566156,3897,13.991358,1.90E-43,0.19,0.25,0.05,0.00003418,1,2.59E-42,1,1,42.7212464
1, zil6 ,742,zLE8_TOTALSCOREinv,,0.22,0.01593824,3860,13.962725,2.90E-43,0.19,0.25,0.05,0.00003418,1,3.85E-42,1,1,42.537602
1, zp4hb ,1014,zLE8_TOTALSCOREinv,,0.22,0.01607275,3849,13.892786,7.50E-43,0.19,0.25,0.05,0.00003418,1,9.75E-42,1,1,42.12493874
1, zplin1 ,1065,zLE8_TOTALSCOREinv,,0.23,0.01620371,3782,13.891482,7.90E-43,0.19,0.26,0.05,0.00003418,1,1.02E-41,1,1,42.10237291
1, zsost ,1275,zLE8_TOTALSCOREinv,,0.21,0.01497196,3879,13.870643,9.80E-43,0.18,0.24,0.05,0.00003418,1,1.26E-41,1,1,42.00877392
1, zmme ,912,zLE8_TOTALSCOREinv,,0.22,0.01563211,3860,13.866576,1.10E-42,0.19,0.25,0.05,0.00003418,1,1.34E-41,1,1,41.95860731
1, zace2 ,6,zLE8_TOTALSCOREinv,,0.2,0.01468818,3797,13.785528,3.20E-42,0.17,0.23,0.05,0.00003418,1,4.02E-41,1,1,41.49485002
1, zcolec12 ,335,zLE8_TOTALSCOREinv,,0.21,0.01521158,3870,13.752856,4.70E-42,0.18,0.24,0.05,0.00003418,1,5.88E-41,1,1,41.32790214
1, zpltp ,1068,zLE8_TOTALSCOREinv,,-0.21,0.01562957,3915,-13.696611,9.60E-42,-0.24,-0.18,0.05,0.00003418,1,1.19E-40,1,1,41.01772877
1, zc2 ,141,zLE8_TOTALSCOREinv,,0.22,0.01603117,3891,13.690429,1.10E-41,0.19,0.25,0.05,0.00003418,1,1.30E-40,1,1,40.95860731
1, zwfikkn2 ,1452,zLE8_TOTALSCOREinv,,-0.22,0.01606646,3874,-13.651101,1.80E-41,-0.25,-0.19,0.05,0.00003418,1,2.18E-40,1,1,40.74472749
1, zsiglec7 ,1239,zLE8_TOTALSCOREinv,,0.22,0.01576858,3879,13.646423,1.90E-41,0.18,0.25,0.05,0.00003418,1,2.29E-40,1,1,40.7212464
